EloGroup,ECO,Count,Proportion
1500-1999,A34,21,8.2631620366727e-4
1500-1999,A35,21,8.2631620366727e-4
1500-1999,E91,21,8.2631620366727e-4
1500-1999,A16,20,7.869678130164476e-4
1500-1999,A56,20,7.869678130164476e-4
1500-1999,C70,20,7.869678130164476e-4
1500-1999,B15,19,7.476194223656253e-4
1500-1999,B46,19,7.476194223656253e-4
1500-1999,C05,19,7.476194223656253e-4
1500-1999,C39,19,7.476194223656253e-4
1500-1999,C43,19,7.476194223656253e-4
1500-1999,A15,18,7.082710317148029e-4
1500-1999,B52,18,7.082710317148029e-4
1500-1999,C52,18,7.082710317148029e-4
1500-1999,A36,17,6.689226410639805e-4
1500-1999,B41,17,6.689226410639805e-4
1500-1999,B53,16,6.295742504131581e-4
1500-1999,D01,16,6.295742504131581e-4
1500-1999,D08,16,6.295742504131581e-4
1500-1999,D45,16,6.295742504131581e-4
1500-1999,A42,15,5.902258597623358e-4
1500-1999,D92,15,5.902258597623358e-4
1500-1999,B70,14,5.508774691115134e-4
1500-1999,C07,14,5.508774691115134e-4
1500-1999,D21,14,5.508774691115134e-4
1500-1999,D60,14,5.508774691115134e-4
1500-1999,E70,14,5.508774691115134e-4
1500-1999,A25,13,5.11529078460691e-4
1500-1999,D50,13,5.11529078460691e-4
1500-1999,E20,13,5.11529078460691e-4
1500-1999,E81,13,5.11529078460691e-4
1500-1999,A08,12,4.7218068780986857e-4
1500-1999,B84,12,4.7218068780986857e-4
1500-1999,C66,12,4.7218068780986857e-4
1500-1999,C78,12,4.7218068780986857e-4
1500-1999,E30,12,4.7218068780986857e-4
1500-1999,C17,11,4.328322971590462e-4
1500-1999,C59,11,4.328322971590462e-4
1500-1999,E21,11,4.328322971590462e-4
1500-1999,B05,10,3.934839065082238e-4
1500-1999,B24,10,3.934839065082238e-4
1500-1999,B38,10,3.934839065082238e-4
1500-1999,B56,10,3.934839065082238e-4
1500-1999,B86,10,3.934839065082238e-4
1500-1999,C15,10,3.934839065082238e-4
1500-1999,C16,10,3.934839065082238e-4
1500-1999,C63,10,3.934839065082238e-4
1500-1999,D13,10,3.934839065082238e-4
1500-1999,D24,10,3.934839065082238e-4
1500-1999,D85,10,3.934839065082238e-4
1500-1999,D94,10,3.934839065082238e-4
1500-1999,A28,9,3.5413551585740144e-4
1500-1999,B72,9,3.5413551585740144e-4
1500-1999,C18,9,3.5413551585740144e-4
1500-1999,E01,9,3.5413551585740144e-4
1500-1999,A17,8,3.1478712520657907e-4
1500-1999,A29,8,3.1478712520657907e-4
1500-1999,A57,8,3.1478712520657907e-4
1500-1999,B19,8,3.1478712520657907e-4
1500-1999,B85,8,3.1478712520657907e-4
1500-1999,D51,8,3.1478712520657907e-4
1500-1999,E11,8,3.1478712520657907e-4
1500-1999,A44,7,2.754387345557567e-4
1500-1999,A82,7,2.754387345557567e-4
1500-1999,B14,7,2.754387345557567e-4
1500-1999,B29,7,2.754387345557567e-4
1500-1999,B58,7,2.754387345557567e-4
1500-1999,B92,7,2.754387345557567e-4
1500-1999,C13,7,2.754387345557567e-4
1500-1999,C38,7,2.754387345557567e-4
1500-1999,C80,7,2.754387345557567e-4
1500-1999,D80,7,2.754387345557567e-4
1500-1999,D91,7,2.754387345557567e-4
1500-1999,E73,7,2.754387345557567e-4
1500-1999,A31,6,2.3609034390493429e-4
1500-1999,B80,6,2.3609034390493429e-4
1500-1999,C12,6,2.3609034390493429e-4
1500-1999,C88,6,2.3609034390493429e-4
1500-1999,D26,6,2.3609034390493429e-4
1500-1999,D90,6,2.3609034390493429e-4
