EloGroup,ECO,TotalGames,Count_Black_Win,Count_Draw,Count_White_Win,Proportion_Black_Win,Proportion_Draw,Proportion_White_Win
1500-1999,E68,1,0,0,1,0,0,1
1500-1999,E70,14,7,0,7,0.5,0,0.5
1500-1999,E71,6,2,1,3,0.3333333333333333,0.16666666666666666,0.5
1500-1999,E72,1,0,0,1,0,0,1
1500-1999,E73,7,2,0,5,0.2857142857142857,0,0.7142857142857143
1500-1999,E76,5,2,1,2,0.4,0.2,0.4
1500-1999,E80,3,1,0,2,0.3333333333333333,0,0.6666666666666666
1500-1999,E81,13,4,0,9,0.3076923076923077,0,0.6923076923076923
1500-1999,E82,1,0,0,1,0,0,1
1500-1999,E83,4,2,0,2,0.5,0,0.5
1500-1999,E84,1,1,0,0,1,0,0
1500-1999,E85,2,0,0,2,0,0,1
1500-1999,E90,29,15,2,12,0.5172413793103449,0.06896551724137931,0.41379310344827586
1500-1999,E91,21,10,1,10,0.47619047619047616,0.047619047619047616,0.47619047619047616
1500-1999,E92,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
1500-1999,E94,3,2,1,0,0.6666666666666666,0.3333333333333333,0
1500-1999,E97,2,1,0,1,0.5,0,0.5
2000+,A00,94,48,0,46,0.5106382978723404,0,0.48936170212765956
2000+,A02,51,19,3,29,0.37254901960784315,0.058823529411764705,0.5686274509803921
2000+,A03,45,27,2,16,0.6,0.044444444444444446,0.35555555555555557
2000+,A04,7,5,0,2,0.7142857142857143,0,0.2857142857142857
2000+,A05,4,3,0,1,0.75,0,0.25
2000+,A06,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,A07,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,A08,3,2,0,1,0.6666666666666666,0,0.3333333333333333
2000+,A09,3,3,0,0,1,0,0
2000+,A10,1,1,0,0,1,0,0
2000+,A11,1,0,0,1,0,0,1
2000+,A13,1,0,1,0,0,1,0
2000+,A15,1,0,1,0,0,1,0
2000+,A16,6,0,1,5,0,0.16666666666666666,0.8333333333333334
2000+,A17,1,1,0,0,1,0,0
2000+,A18,1,0,0,1,0,0,1
2000+,A20,4,2,0,2,0.5,0,0.5
2000+,A21,7,3,0,4,0.42857142857142855,0,0.5714285714285714
2000+,A22,1,1,0,0,1,0,0
2000+,A23,1,1,0,0,1,0,0
2000+,A27,2,1,0,1,0.5,0,0.5
2000+,A29,2,2,0,0,1,0,0
2000+,A30,2,1,0,1,0.5,0,0.5
2000+,A31,2,0,0,2,0,0,1
2000+,A33,1,0,1,0,0,1,0
2000+,A35,1,0,0,1,0,0,1
2000+,A36,1,1,0,0,1,0,0
2000+,A40,28,17,2,9,0.6071428571428571,0.07142857142857142,0.32142857142857145
